headline
South Korea plane crash kills 179 with investigation into cause under way
Video captures moments before South Korea plane crash
Billionaire HBO creator Charles Dolan dies aged 98
"As Putin reaches 25 years in power, has he 'taken care of Russia'?"
Nigerians take to the streets for Calabar Carnival 
Video captures moments before South Korea plane crash
Did bird strike contribute to South Korea plane crash? What we know so far
"New elections could take up to four years, Syria rebel leader says"
Chlamydia could make koalas extinct. Can a vaccine save them in time?
Billionaire HBO creator Charles Dolan dies aged 98
Lost city found by accident and a fly's brain mapped: 2024's scientific wins
"Quiz of the Year, Part 4: Why did 100 couples all say 'I do' together?"
Tourist killed in shark attack off Egyptian coast
Trump sides with tech bosses in Maga fight over immigrant visas
Azerbaijan urges Russia to accept blame for plane crash
More to explore
"Maggie Smith, Liam Payne and the other famous people who died in 2024"
Inside a Syrian 'reconciliation centre' where Assad's soldiers give up their weapons
"UK and EU look to 2025 for reset, but with little room for trade-offs"
Growth of women in power grinds to near-halt in a mega-election year
"From Squid Game to Blackpink, how South Korea became a culture powerhouse"
Inside a Syrian 'reconciliation centre' where Assad's soldiers give up their weapons
A year of extreme weather that challenged billions
"How feminism, not Bollywood, drew global audiences to Indian cinema in 2024"
"UK and EU look to 2025 for reset, but with little room for trade-offs"
Most watched
Video captures moments before South Korea plane crash
Watch: Huge waves strike Peruvian coastline
Azerbaijan plane survivors recall moments before crash
Watch: Police officer dressed as the Grinch leads drug raid
Footage shows survivors walking from crashed Azerbaijani plane
Also in news
Toddler nearly runs off cliff at Hawaii volcano
School chaplain killed in shark attack on Australia's Great Barrier Reef
Trump sides with tech bosses in Maga fight over immigrant visas
Romeo and Juliet actress Olivia Hussey dies aged 73
Watch: Huge waves strike Peruvian coastline
School chaplain killed in shark attack on Australia's Great Barrier Reef
Kiefer Sutherland grew up unaware of dad Donald's success
Three migrants die attempting to cross Channel
Trump sides with tech bosses in Maga fight over immigrant visas
Most read
South Korea plane crash kills 179 with investigation into cause under way
Did bird strike contribute to South Korea plane crash? What we know so far
"New elections could take up to four years, Syria rebel leader says"
"As Putin reaches 25 years in power, has he 'taken care of Russia'?"
Billionaire HBO creator Charles Dolan dies aged 98
Notable deaths 2024
Chlamydia could make koalas extinct. Can a vaccine save them in time?
Rebel Wilson marries Ramona Agruma in Sydney ceremony
Lost city found by accident and a fly's brain mapped: 2024's scientific wins
Kiefer Sutherland grew up unaware of dad Donald's success
Sport
PDC World Darts Championship: Owen beats Evans in last third-round tie
Ruthless Liverpool thrash West Ham to go eight points clear
Thuram scores twice but Juventus held by Fiorentina
Rabada sends SA into Test final with thrilling win
Australia rally after Bumrah genius on riveting day
Ruthless Liverpool thrash West Ham to go eight points clear
Forest lend retro feel to table - here's why they can stay the course
'We need help' - Guardiola targets January & says 'no chance' of title
Thuram scores twice but Juventus held by Fiorentina
Follow BBC on:
